County,Exposure,Demographic,Readiness 
Adams,8.6955998,7.561380232,4.888183333
Alamosa,8.567481708,7.395958215,4.840633333
Arapahoe,8.688171423,7.919920384,3.057583333
Archuleta,7.981122379,8.283918396,2.9585
Baca,8.442740994,6.705238995,2.703566667
Bent,7.922034157,5.222504104,2.833916667
Boulder,8.456616156,8.119625126,6.65795
Broomfield,8.921633961,8.28473445,3.050033333
Chaffee,8.720351949,7.758280506,2.999033333
Cheyenne,8.649426041,7.856814155,2.6186
Clear Creek,8.355330636,7.306900054,3.09035
Conejos,8.312744789,6.942861358,4.836433333
Costilla,8.651985178,6.299162683,4.934866667
Crowley,8.372575242,7.499576652,2.8677
Custer,8.475571092,6.946597963,2.829583333
Delta,8.405766724,7.205950391,4.42745
Denver,9.182228569,7.696092653,6.712266667
Dolores,8.547578736,7.58997251,2.8419
Douglas,8.051917482,8.482410395,2.8233
Eagle,8.414236229,8.436808122,6.531933333
El Paso,8.393250298,7.550360813,2.792416667
Elbert,8.115474717,8.142350489,2.8225
Fremont,8.144873696,6.967198352,2.834583333
Garfield,8.100019824,8.074081352,8.057566667
Gilpin,8.576131367,7.717198675,3.04415
Grand,8.694130018,8.51198854,3.0462
Gunnison,8.625299525,8.575758769,6.529966667
Hinsdale,8.685716343,8.087029973,4.657466667
Huerfano,7.923711894,5.958097941,3.246733333
Jackson,8.657885865,7.878726708,2.825066667
Jefferson,8.199668454,7.742665109,4.59955
Kiowa,8.621229549,7.633378091,2.525616667
Kit Carson,9.014401655,6.7623151,2.617916667
La Plata,8.466137801,8.271852743,6.545233333
Lake,8.594726084,7.663607987,6.518466667
Larimer,8.041888426,8.00147452,6.37385
Las Animas,7.748593075,6.78195118,3.095966667
Lincoln,6.82049531,7.655862485,2.7662
Logan,8.566911861,7.069977943,2.7463
Mesa,7.635939529,7.506511852,2.751683333
Mineral,8.603692038,8.326950684,4.76595
Moffat,8.178652657,7.399317269,2.529083333
Montezuma,7.729275793,7.315710509,2.858216667
Montrose,8.394564865,7.286569901,4.4328
Morgan,8.599559401,7.333378038,2.828416667
Otero,8.145229347,6.882448484,3.041466667
Ouray,8.603896563,7.322005134,6.48225
Park,8.492535298,7.678586093,4.615716667
Phillips,9.401789378,7.038841339,2.8254
Pitkin,8.623196691,8.694635424,8.315966667
Prowers,7.298407344,5.770813314,2.913366667
Pueblo,7.949076135,6.702802413,6.420366667
Rio Blanco,5.871077636,7.58809788,2.6915
Rio Grande,8.585673084,7.156993054,4.67795
Routt,8.339712346,8.299554327,6.4003
Saguache,8.64399592,6.461079048,5.0054
San Juan,8.850207052,8.532483131,3.185716667
San Miguel,8.541985717,8.284882286,8.32945
Sedgwick,8.17319671,6.154754981,2.868233333
Summit,8.277366926,8.655304418,6.58985
Teller,8.411969546,7.850315319,2.770216667
Washington,8.714864367,6.871569949,2.586333333
Weld,8.547920906,7.751933774,2.860483333
Yuma,8.242454691,7.076041085,2.789583333
